Function name	Segment	Start	Length	Locals	Arguments	R	F	L	M	S	B	T	=
sub_9EFDA	ROM	0009EFDA	00000026	0000000C		R	.	.	.	.	B	.	.
sub_9F000	ROM	0009F000	0000002E			R	.	.	.	.	.	.	.
sub_9F02E	ROM	0009F02E	0000002E			R	.	.	.	.	.	.	.
sub_9F05C	ROM	0009F05C	0000003A			R	.	.	.	.	.	.	.
sub_9F096	ROM	0009F096	0000003A			R	.	.	.	.	.	.	.
sub_9F13A	ROM	0009F13A	000000A6	0000001C		R	.	.	.	.	B	.	.
sub_9F21E	ROM	0009F21E	00000046			R	.	.	.	.	.	.	.
sub_9F266	ROM	0009F266	00000086			R	.	.	.	.	.	.	.
sub_9F33C	ROM	0009F33C	00000184			R	.	.	.	.	.	.	.
sub_9FB46	ROM	0009FB46	00000014			R	.	.	.	.	.	.	.
sub_9FDB0	ROM	0009FDB0	00000098			R	.	.	.	.	.	.	.
sub_9FE48	ROM	0009FE48	00000008	00000008		R	.	.	.	.	.	.	.
sub_9FFD8	ROM	0009FFD8	0000002A			R	.	.	.	.	.	.	.
sub_A0286	ROM	000A0286	0000004C			R	.	.	.	.	.	.	.
sub_A02D2	ROM	000A02D2	00000060			R	.	.	.	.	.	.	.
sub_A0462	ROM	000A0462	0000004C			R	.	.	.	.	.	.	.
sub_A04AE	ROM	000A04AE	00000060			R	.	.	.	.	.	.	.
nullsub_1	ROM	000A0640	00000002			R	.	.	.	.	.	.	.
nullsub_6	ROM	000A0642	00000002			R	.	.	.	.	.	.	.
sub_A066C	ROM	000A066C	000000B0			R	.	.	.	.	.	.	.
sub_A088A	ROM	000A088A	00000094			R	.	.	.	.	.	.	.
sub_A0AD4	ROM	000A0AD4	000000F0			R	.	.	.	.	.	.	.
sub_A0C3A	ROM	000A0C3A	0000011C			R	.	.	.	.	.	.	.
sub_A0D56	ROM	000A0D56	0000004E			R	.	.	.	.	.	.	.
sub_A0DA4	ROM	000A0DA4	0000003E			R	.	.	.	.	.	.	.
sub_A0DE2	ROM	000A0DE2	0000005C			R	.	.	.	.	.	.	.
sub_A0E3E	ROM	000A0E3E	000000C6			R	.	.	.	.	.	.	.
sub_A0F8E	ROM	000A0F8E	0000001A			R	.	.	.	.	.	.	.
sub_A182C	ROM	000A182C	00000086			R	.	.	.	.	.	.	.
sub_A18B2	ROM	000A18B2	00000030			R	.	.	.	.	.	.	.
sub_A1A7E	ROM	000A1A7E	000000C2			R	.	.	.	.	.	.	.
sub_A40C0	ROM	000A40C0	0000003A			R	.	.	.	.	.	.	.
sub_A4134	ROM	000A4134	000003BA	00000020		R	.	.	.	.	B	.	.
sub_A4650	ROM	000A4650	0000001C			R	.	.	.	.	.	.	.
sub_A5528	ROM	000A5528	00000148			R	.	.	.	.	.	.	.
sub_A5ACA	ROM	000A5ACA	00000044			R	.	.	.	.	.	.	.
sub_A69E8	ROM	000A69E8	000000E2			R	.	.	.	.	.	.	.
sub_A6B72	ROM	000A6B72	000000D8			R	.	.	.	.	.	.	.
sub_A7906	ROM	000A7906	0000009E			R	.	.	.	.	.	.	.
sub_A79A4	ROM	000A79A4	000000EC			R	.	.	.	.	.	.	.
sub_A7A90	ROM	000A7A90	0000037C			R	.	.	.	.	.	.	.
sub_A914A	ROM	000A914A	000000B8			R	.	.	.	.	.	.	.
sub_A9E5E	ROM	000A9E5E	00000092			R	.	.	.	.	.	.	.
sub_AA056	ROM	000AA056	00000040			R	.	.	.	.	.	.	.
sub_AB776	ROM	000AB776	000001D8			R	.	.	.	.	.	.	.
sub_AC6DA	ROM	000AC6DA	0000005C			R	.	.	.	.	.	.	.
sub_AD4B2	ROM	000AD4B2	00000106			R	.	.	.	.	.	.	.
sub_ADF12	ROM	000ADF12	0000008C			R	.	.	.	.	.	.	.
sub_B0AFA	ROM	000B0AFA	00000008			R	.	.	.	.	.	.	.
sub_B0BA4	ROM	000B0BA4	00000034			R	.	.	.	.	.	.	.
sub_B0BD8	ROM	000B0BD8	00000024			R	.	.	.	.	.	.	.
sub_B0BFC	ROM	000B0BFC	00000020			R	.	.	.	.	.	.	.
sub_B1536	ROM	000B1536	0000001E			R	.	.	.	.	.	.	.
sub_B1554	ROM	000B1554	00000020			R	.	.	.	.	.	.	.
sub_B1574	ROM	000B1574	00000026			R	.	.	.	.	.	.	.
sub_B16B8	ROM	000B16B8	00000052			R	.	.	.	.	.	.	.
sub_B1772	ROM	000B1772	00000080			R	.	.	.	.	.	.	.
sub_B17F2	ROM	000B17F2	0000012E			R	.	.	.	.	.	.	.
sub_B1F60	ROM	000B1F60	000002A8			R	.	.	.	.	.	.	.
sub_B2208	ROM	000B2208	0000053C	00000060		R	.	.	.	.	B	.	.
sub_B2744	ROM	000B2744	000000A0			R	.	.	.	.	.	.	.
sub_B352C	ROM	000B352C	0000003E			R	.	.	.	.	.	.	.
sub_B356A	ROM	000B356A	0000016A			R	.	.	.	.	.	.	.
sub_B4494	ROM	000B4494	00000084			R	.	.	.	.	.	.	.
sub_B46A2	ROM	000B46A2	0000007C			R	.	.	.	.	.	.	.
sub_B471E	ROM	000B471E	0000001A			R	.	.	.	.	.	.	.
