Name	Address	Public
aThroughoutTheO	000CE6F2	
aEccoIsAHeroHe	000CE708	
aSavedTheEarthA	000CE71E	
aHeDestroyedThe	000CE734	
aVortex	000CE74A	
aOrSoHeThought	000CE776	
aTheVortexQueen_0	000CE78C	
aDetachesFromTh	000CE7A1	
aHiveAndFalls	000CE7B6	
aIntoTheTubeBeh	000CE7CB	
aThePodOfEscapi	000CE7E0	
aDolphins	000CE7F5	
aSheIsPuzzledBy	000CE81F	
aWhatHasJust	000CE834	
aHappenedASmall	000CE849	
aDolphinHasMana	000CE85E	
aToAttackTheHiv	000CE873	
aAndBattleItsWa	000CE888	
aToHerChamber	000CE89D	
aTheDolphinAtta	000CE8B2	
aHerDuringHerFe	000CE8C7	
aStateSheWasWea	000CE8DC	
aAndVerySurpris	000CE8F1	
aHeBeatHer	000CE906	
aNowSheMustFoll	000CE930	
aThePodToTheEar	000CE945	
aToStartANewHiv	000CE95A	
aS_0	000CEB1E	
jpt_CED84	000CED88	
def_CED84	000CEDB8	
jpt_CEE3E	000CEE42	
def_CEE3E	000CEEA4	
UniverseEnding	000CF916	
data_CFB66	000CFB66	
aEpilogue_0	000CFB6D	
aTheQueenRetrea	000CFB98	
aWithinHerMachi	000CFBB1	
aWhenEccoLeaves	000CFBCA	
aEscapesInTheFo	000CFBE3	
aAVortexLarva	000CFBFC	
aTheQueenMakesH	000CFC2E	
aToTheSunkenCit	000CFC47	
aAtlantisSheFin	000CFC60	
aTimeMachineAnd	000CFC79	
aIntoEarthSPast	000CFC92	
aWhenTheQueenAr	000CFCC4	
aInThePrehistor	000CFCDD	
aSheEncountersC	000CFCF6	
aThatSheCannotR	000CFD0F	
aSheHasNoChoice	000CFD28	
aLiveWithinTheL	000CFD41	
aCyclesOfTheEar	000CFD5A	
aAndThroughTheE	000CFD8C	
aTheVortexkindI	000CFDA5	
aWithTheLifeOnE	000CFDBE	
aEecco	000CFDD7	
aFindsTheTime	000CFDF5	
aMachineInTheCi	000CFE09	
aForeverInstead	000CFE22	
aDestroyingItHe	000CFE3B	
aItAndDisappear	000CFE54	
aTheTidesOfTime	000CFE6D	
Generate_Password	000D1ABE	
PasswordChecker	000D1C40	
Level_Title_PW	000D1E42	
InitLevelTitle	000D2286	
ErasePassword	000D230C	
Password_Screen	000D2920	
aStaff	000D2EA8	
aRoundOneFight	000D2EB7	
aWilcommenInDer	000D2EC8	
aWeLoveTheDolph	000D2EDB	
aHastaLaVistaBa	000D2EF1	
aOperatingSyste	000D2F06	
aHowAreYou	000D2F18	
aHelloWord	000D2F25	
Atlantis_Wall_Text	000D2F32	
Init3D_Stages	000D33F4	
jpt_D36E0	000D36E4	
def_D36E0	000D3702	
jpt_D6240	000D6244	
def_D6240	000D634C	
Run3D_Stages	000D6C8A	
jpt_D6CB8	000D6CBC	
jpt_D6E8A	000D6E8E	
def_D6E8A	000D6EB0	
jpt_D6EE4	000D6EE8	
def_D6EE4	000D6F08	
def_D6CB8	000D710C	
Load_3D_Stages	000D7118	
jpt_D7158	000D715C	
def_D7158	000D727E	
jpt_D73AC	000D73B0	
def_D73AC	000D73F2	
aFinalScoreD	000D74D4	
aEnemiesD	000D74E7	
aPowerupsD	000D74FA	
aTimeupsD	000D750D	
Info_3D	000D7520	
aStage1d	000D75F4	
StageChanger_3D	000D7600	
aDistanceFromSt	000D76CA	
aTimeDecrement2	000D76E5	
aDifficultyD	000D76FC	
DifficultyChanger_3D	000D7714	
Pause_3D	000D7922	
jpt_DCF6C	000DCF70	
def_DCF6C	000DD268	
RunAttackDemo	000DFF28	
